Symbol,CompanyName,Industry,MarketCap
CENX,Century Aluminum Company,Aluminum,729997130
CEPU,Central Puerto,Utilities - Regulated Electric,3494983782
CEQP,Crestwood Equity Partners LP,Oil & Gas Midstream,2970012960
CERE,Cerevel Therapeutics Holdings,Biotechnology,7431059160
CERS,Cerus,Medical Devices,309846856
CERT,Certara,Health Information Services,2626253350
CET,Central Securities,Asset Management,1031220005
CETU,Cetus Capital Acquisition,Shell Companies,79300000
CETX,Cemtrex,Software - Infrastructure,6075976
CEVA,"CEVA, Inc.",Semiconductors,509626593
CF,CF Industries Holdings,Agricultural Inputs,14627247360
CFB,CrossFirst Bankshares,Banks - Regional,592055769
CFBK,CF Bankshares,Banks - Regional,109281372
CFFI,C&F Financial,Banks - Regional,204937106
CFFN,Capitol Federal Financial,Banks - Regional,781704540
CFFS,CF Acquisition Corp. VII,Shell Companies,207125714
CFG,Citizens Financial Group,Banks - Regional,13804863030
CFLT,Confluent,Software - Infrastructure,6982606633
CFR,Cullen Frost Bankers,Banks - Regional,6569321304
CFSB,CFSB Bancorp,Banks - Regional,39862842
CG,The Carlyle Group,Asset Management,13324196280
CGA,China Green Agriculture,Agricultural Inputs,27537892
CGAU,Centerra Gold,Gold,1204203060
CGBD,Carlyle Secured Lending,Asset Management,776654021
CGC,Canopy Growth,Drug Manufacturers - Specialty & Generic,663267200
CGEM,Cullinan Oncology,Biotechnology,346950666
CGEN,Compugen,Biotechnology,74424499
CGNT,Cognyte Software,Software - Infrastructure,397295570
CGNX,Cognex,Scientific & Technical Instruments,6553445940
CGTX,Cognition Therapeutics,Biotechnology,50492356
CHAA,Catcha Investment,Shell Companies,24562797
CHCI,Comstock Holding Companies,Real Estate - Diversified,38857821
CHCO,City Holding Company,Banks - Regional,1506762562
CHCT,Community Healthcare Trust,REIT - Healthcare Facilities,769401368
CHD,Church & Dwight Co.,Household & Personal Products,22898743080
CHDN,Churchill Downs,Gambling,8943170572
CHE,Chemed,Medical Care Facilities,8601998850
CHEA,Chenghe Acquisition Co.,Shell Companies,123873736
CHEF,The Chefs' Warehouse,Food Distribution,1111022252
CHEK,Check-Cap,Diagnostics & Research,15795270
CHGG,Chegg,Education & Training Services,1236904200
CHH,Choice Hotels International,Lodging,5608318332
CHK,Chesapeake Energy,Oil & Gas E&P,9836953600
CHKP,Check Point Software Technologies,Software - Infrastructure,17597438640
CHMG,Chemung Financial,Banks - Regional,223428098
CHMI,Cherry Hill Mortgage Investment,REIT - Mortgage,107372838
CHNR,China Natural Resources,Waste Management,15002157
CHPT,ChargePoint Holdings,Specialty Retail,846126900
CHR,Cheer Holding,Advertising Agencies,25800000
CHRD,Chord Energy,Oil & Gas E&P,6523638336
CHRS,Coherus BioSciences,Biotechnology,247228080
CHRW,C.H. Robinson Worldwide,Integrated Freight & Logistics,9857009500
CHS,Chico's FAS,Apparel Retail,933334920
CHSN,Chanson International Holding,Restaurants,89084100
CHT,Chunghwa Telecom Co.,Telecom Services,29501582350
CHTR,Charter Communications,Telecom Services,54367996000
CHUY,Chuy's Holdings,Restaurants,624693600
CHWY,Chewy,Internet Retail,2304206280
CHX,ChampionX,Oil & Gas Equipment & Services,5680368000
CI,Cigna,Healthcare Plans,75730056000
CIA,Citizens,Insurance - Life,153117225
CIB,Bancolombia,Banks - Regional,7384367959
CIEN,Ciena,Communication Equipment,6556792700
CIFR,Cipher Mining,Capital Markets,741060600
CIG,Cia Energetica DE Minas Gerais - Cemig,Utilities - Diversified,3207635924
CIGI,Colliers International Group,Real Estate Services,5021438687
CIM,Chimera Investment,REIT - Mortgage,1154218580
CINF,Cincinnati Financial,Insurance - Property & Casualty,16130142400
CING,Cingulate,Biotechnology,3307610
CINT,CI&T Inc,Software - Infrastructure,677143578
CIO,City Office REIT,REIT - Office,218862980
CION,CION Investment,Asset Management,596934252
CISO,CISO Global,Software - Infrastructure,19206762
CISS,C3is Inc.,Marine Shipping,3064328
CITE,Cartica Acquisition,Shell Companies,142990306
CIVB,Civista Bancshares,Banks - Regional,259768800
CIVI,Civitas Resources,Oil & Gas E&P,6475087795
CIX,CompX International,Security & Protection Services,283586814
CIZN,Citizens Holding Company,Banks - Regional,53637002
CJET,Chijet Motor Company,Auto Manufacturers,128448052
CJJD,China Jo-Jo Drugstores,Pharmaceutical Retailers,7436139
CKPT,Checkpoint Therapeutics,Biotechnology,79366384
CKX,CKX Lands,Oil & Gas E&P,25233215
CL,Colgate-Palmolive Company,Household & Personal Products,63539617240
CLAR,Clarus,Leisure,231185364
CLAY,Chavant Capital Acquisition,Shell Companies,32374325
CLB,Core Laboratories,Oil & Gas Equipment & Services,835417968
CLBK,Columbia Financial,Banks - Regional,1918895350
CLBR,Colombier Acquisition Corp. II,Shell Companies,183595000
CLBT,Cellebrite DI,Software - Infrastructure,1687496400
CLCO,Cool Company,Marine Shipping,629228775
CLDI,Calidi Biotherapeutics,Biotechnology,87252800
CLDT,Chatham Lodging Trust,REIT - Hotel & Motel,496895013
CLDX,Celldex Therapeutics,Biotechnology,1718881556
CLEU,China Liberal Education Holdings,Education & Training Services,11234015
CLF,Cleveland-Cliffs,Steel,8774484180
CLFD,Clearfield,Communication Equipment,424685280
CLGN,CollPlant Biotechnologies,Biotechnology,59210459
CLH,Clean Harbors,Waste Management,9265524053
CLIN,Clean Earth Acquisitions,Shell Companies,85358896
CLIR,ClearSign Technologies,Pollution & Treatment Controls,39337116
CLLS,Cellectis,Biotechnology,212603886
CLMB,Climb Global Solutions,Electronics & Computer Distribution,244094279
CLMT,"Calumet Specialty Products Partners,",Oil & Gas E&P,1381836672
CLNE,Clean Energy Fuels,Oil & Gas Refining & Marketing,782800200
CLNN,Clene,Biotechnology,49953824
CLOE,Clover Leaf Capital,Shell Companies,63126404
CLOV,Clover Health Investments,Healthcare Plans,465322671
CLPR,Clipper Realty,REIT - Residential,88668858
CLPS,CLPS Incorporation,Information Technology Services,27128942
CLPT,ClearPoint Neuro,Medical Devices,164958020
CLRB,Cellectar Biosciences,Biotechnology,32563995
CLRC,ClimateRock,Shell Companies,51536866
CLRO,ClearOne,Communication Equipment,19410563
CLS,Celestica,Electronic Components,3770826443
CLSD,Clearside Biomedical,Biotechnology,68025701
CLSK,CleanSpark,Software - Application,1910315000
CLST,Catalyst Bancorp,Banks - Regional,52222193
CLVR,Clever Leaves Holdings,Drug Manufacturers - Specialty & Generic,3577561
CLVT,Clarivate,Information Technology Services,5331301754
CLW,Clearwater Paper,Paper & Paper Products,593628672
CLWT,Euro Tech Holdings Company,Pollution & Treatment Controls,13361880
CLX,The Clorox Company,Household & Personal Products,17560551450
CM,Canadian Imperial Bank of Commerce,Banks - Diversified,40062118257
CMA,Comerica,Banks - Regional,6589693760
CMAX,CareMax,Health Information Services,79589580
CMBM,Cambium Networks,Communication Equipment,129749319
CMC,Commercial Metals Company,Steel,5356672020
CMCA,Capitalworks Emerging Markets Acquisition,Shell Companies,108982516
CMCL,Caledonia Mining Corporation,Gold,242921346
CMCM,Cheetah Mobile,Internet Content & Information,21000260
CMCO,Columbus McKinnon,Farm & Heavy Construction Machinery,1042043506
CMCSA,Comcast,Telecom Services,1.69058E+11
CMCT,Creative Media & Community Trust,REIT - Office,83285389
CME,CME Group,Financial Data & Stock Exchanges,76181083800
CMG,Chipotle Mexican Grill,Restaurants,61557089865
CMI,Cummins,Specialty Industrial Machinery,32683562100
CMLS,Cumulus Media,Broadcasting,82195208
CMMB,Chemomab Therapeutics,Biotechnology,6078320
CMND,Clearmind Medicine,Biotechnology,2004357
CMP,Compass Minerals International,Other Industrial Metals & Mining,1013766000
CMPO,CompoSecure,Metal Fabrication,387118473
CMPR,Cimpress,Advertising Agencies,2005151900
CMPS,COMPASS Pathways,Medical Care Facilities,400394559
CMPX,Compass Therapeutics,Biotechnology,221825640
CMRE,Costamare,Marine Shipping,1141323630
CMRX,Chimerix,Biotechnology,86233450
CMS,CMS Energy,Utilities - Regulated Electric,16966076600
CMT,Core Molding Technologies,Specialty Chemicals,168609055
CMTG,Claros Mortgage Trust,REIT - Mortgage,1792374675
CMTL,Comtech Telecommunications,Communication Equipment,247861299
CNA,CNA Financial,Insurance - Property & Casualty,11254690050
CNC,Centene,Healthcare Plans,39408007180
CNDA,Concord Acquisition Corp II,Shell Companies,152722807
CNDB,Concord Acquisition Corp III,Shell Companies,132449434
CNDT,Conduent,Information Technology Services,701837036
CNET,ZW Data Action Technologies,Advertising Agencies,6902641
CNEY,CN Energy Group.,Specialty Chemicals,5678720
CNF,CNFinance Holdings,Mortgage Finance,147451648
CNFR,Conifer Holdings,Insurance - Property & Casualty,16867602
CNGL,Canna-Global Acquisition,Shell Companies,96797598
CNHI,CNH Industrial,Farm & Heavy Construction Machinery,14781632800
CNI,Canadian National Railway Company,Railroads,76286102231
CNK,Cinemark Holdings,Entertainment,1788927230
CNM,Core & Main,Industrial Distribution,8223036674
CNMD,CONMED,Medical Devices,3363368114
CNNE,Cannae Holdings,Restaurants,1314536080
CNO,CNO Financial Group,Insurance - Life,2971409790
CNOB,ConnectOne Bancorp,Banks - Regional,822702384
CNP,CenterPoint Energy,Utilities - Regulated Electric,18160314480
CNQ,Canadian Natural Resources,Oil & Gas E&P,67543008000
CNS,Cohen & Steers,Asset Management,3114404468
CNSL,Consolidated Communications Holdings,Telecom Services,509052560
CNSP,CNS Pharmaceuticals,Biotechnology,10864602
CNTA,Centessa Pharmaceuticals,Biotechnology,648823762
CNTB,Connect Biopharma Holdings,Biotechnology,50665834
CNTG,Centogene,Diagnostics & Research,35110908
CNTX,Context Therapeutics,Biotechnology,13595134
CNTY,Century Casinos,Resorts & Casinos,132065565
CNVS,Cineverse,Entertainment,12550557
CNX,CNX Resources,Oil & Gas E&P,3185002650
CNXA,Connexa Sports Technologies,Leisure,869351
CNXC,Concentrix,Information Technology Services,6299150859
CNXN,PC Connection,Electronics & Computer Distribution,1713164515
COCH,Envoy Medical,Medical Devices,40468500
COCO,The Vita Coco Company,Beverages - Non-Alcoholic,1543763336
COCP,Cocrystal Pharma,Biotechnology,18070146
CODA,Coda Octopus Group,Aerospace & Defense,65594430
CODI,Compass Diversified,Conglomerates,1491707631
CODX,Co-Diagnostics,Medical Devices,37308698
COE,51 Talk Online Education Group,Education & Training Services,44749837
COEP,Coeptis Therapeutics,Biotechnology,30306640
COF,Capital One Financial,Credit Services,44974223175
COFS,ChoiceOne Financial Services,Banks - Regional,210357109
COGT,Cogent Biosciences,Biotechnology,744113952
COHN,Cohen & Company,Capital Markets,12694810
COHR,Coherent,Scientific & Technical Instruments,6265387511
COHU,"Cohu, Inc.",Semiconductor Equipment & Materials,1563392841
COIN,Coinbase Global,Software - Application,35078145006
COKE,Coca-Cola Consolidated,Beverages - Non-Alcoholic,7557629687
COLB,Columbia Banking System,Banks - Regional,5193542400
COLD,Americold Realty Trust,REIT - Industrial,8046297600
COLL,Collegium Pharmaceutical,Drug Manufacturers - Specialty & Generic,891255897
COLM,Columbia Sportswear Company,Apparel Manufacturing,4848490014
COMM,CommScope Holding Company,Communication Equipment,390186720
COMP,Compass,Software - Application,1285269913
COMS,COMSovereign Holding,Telecom Services,2790913
CONN,Conn's,Specialty Retail,69123896
CONX,CONX Corp.,Shell Companies,219972635
COO,The Cooper Companies,Medical Instruments & Supplies,16590573500
COOK,Traeger,"Furnishings, Fixtures & Appliances",283070250
COOL,Corner Growth Acquisition,Shell Companies,109620430
COOP,Mr. Cooper Group,Mortgage Finance,4215059136
COP,Conoco Phillips,Oil & Gas E&P,1.33073E+11
COR,Cencora,Medical Distribution,40493646000
CORT,Corcept Therapeutics,Biotechnology,2735769740
COSM,Cosmos Health,Drug Manufacturers - Specialty & Generic,14074410
COST,Costco Wholesale,Discount Stores,2.70417E+11
COTY,Coty Inc.,Household & Personal Products,10361217020
COUR,Coursera,Education & Training Services,3160794560
COYA,Coya Therapeutics,Biotechnology,69811584
CP,Canadian Pacific Railway,Railroads,67918245990
CPA,Copa Holdings,Airlines,4165195931
CPAC,Cementos Pacasmayo,Building Materials,406913280
CPB,Campbell Soup Company,Packaged Foods,12770960020
CPBI,Central Plains Bancshares,Shell Companies,41060301
CPE,Callon Petroleum Company,Oil & Gas E&P,2031861522
CPF,Central Pacific Financial,Banks - Regional,515984256
CPG,Crescent Point Energy,Oil & Gas E&P,3645541200
CPHC,Canterbury Park Holding,Gambling,103471537
CPHI,China Pharma Holdings,Drug Manufacturers - Specialty & Generic,3789446
CPIX,Cumberland Pharmaceuticals,Drug Manufacturers - Specialty & Generic,25375146
CPK,Chesapeake Utilities,Utilities - Regulated Gas,2171270664
CPLP,Capital Product Partners L.P.,Marine Shipping,267548274
CPNG,Coupang,Internet Retail,25323786000
CPOP,Pop Culture Group,Entertainment,10443237
CPRI,Capri Holdings,Luxury Goods,5629745240
CPRT,Copart,Auto & Truck Dealerships,45505347090
CPRX,Catalyst Pharmaceuticals,Biotechnology,1508545650
CPS,Cooper-Standard Holdings,Auto Parts,291153675
CPSH,CPS Technologies,Electronic Components,34555696
CPSI,Computer Programs and Systems,Health Information Services,151307520
CPSS,Consumer Portfolio Services,Credit Services,201698865
CPT,Camden Property Trust,REIT - Residential,9999104150
CPTK,Crown Proptech Acquisitions,Shell Companies,44524759
CPTN,Cepton,Software - Application,71311050
CQP,"Cheniere Energy Partners,",Oil & Gas Midstream,28224314090
CR,Crane Company,Specialty Industrial Machinery,6058722022
CRAI,CRA International,Consulting Services,686098543
CRBG,Corebridge Financial,Asset Management,13189749244
CRBP,Corbus Pharmaceuticals Holdings,Biotechnology,23578214
CRBU,Caribou Biosciences,Biotechnology,513784691
CRC,California Resources,Oil & Gas E&P,3444032781
CRCT,Cricut,Computer Hardware,1523210789
CRD.A,Crawford & Company,Insurance Brokers,525326774
CRD.B,Crawford & Company,Insurance Brokers,523625369
CRDF,Cardiff Oncology,Biotechnology,58080360
CRDL,Cardiol Therapeutics,Drug Manufacturers - Specialty & Generic,63173506
CRDO,Credo Technology Group Holding,Communication Equipment,2741442660
CREG,Smart Powerr,Utilities - Renewable,8864304
CRESY,Cresud S.A.C.I.F. y A.,Conglomerates,1485973689
CREV,Carbon Revolution Public,Shell Companies,689247084
CREX,Creative Realities,Software - Application,19985280
CRGE,Charge Enterprises,Information Technology Services,28770514
CRGO,Freightos,Integrated Freight & Logistics,160308528
CRGX,CARGO Therapeutics,Biotechnology,236540711
CRGY,Crescent Energy Company,Oil & Gas E&P,2067851092
CRH,CRH plc,Building Materials,45953295139
CRI,Carter's,Apparel Retail,2676058216
CRIS,Curis,Biotechnology,67861097
CRK,Comstock Resources,Oil & Gas E&P,2475233810
CRKN,Crown ElectroKinetics,Specialty Chemicals,1822198
CRL,Charles River Laboratories International,Diagnostics & Research,10488143728
CRM,Salesforce,Software - Application,2.42784E+11
CRMD,CorMedix,Biotechnology,195130720
CRMT,America's Car-Mart,Auto & Truck Dealerships,386620954
CRNC,Cerence,Software - Application,705475540
CRNT,Ceragon Networks,Communication Equipment,159501447
CRNX,Crinetics Pharmaceuticals,Biotechnology,2222412711
CRON,Cronos Group,Drug Manufacturers - Specialty & Generic,800339400
CROX,Crocs,Footwear & Accessories,6283179084
CRS,Carpenter Technology,Metal Fabrication,3254222400
CRSP,CRISPR Therapeutics AG,Biotechnology,5126573550
CRSR,Corsair Gaming,Computer Hardware,1413901670
CRT,Cross Timbers Royalty Trust,Oil & Gas E&P,111000000
CRTO,Criteo,Advertising Agencies,1415965760
CRUS,Cirrus Logic,Semiconductors,4232586381
CRVL,CorVel,Insurance Brokers,3838906078
CRVO,CervoMed,Biotechnology,52489310
CRVS,Corvus Pharmaceuticals,Biotechnology,94154112
CRWD,CrowdStrike Holdings,Software - Infrastructure,55211413950
CRWS,Crown Crafts,"Furnishings, Fixtures & Appliances",52022756
CSAN,Cosan,Oil & Gas Refining & Marketing,6657637614
CSBR,Champions Oncology,Biotechnology,66991624
CSCO,Cisco Systems,Communication Equipment,1.96591E+11
CSGP,CoStar Group,Real Estate Services,33645028229
CSGS,CSG Systems International,Software - Infrastructure,1549424842
CSIQ,Canadian Solar,Solar,1427802613
CSL,Carlisle Companies,Building Products & Equipment,14366471340
CSLM,CSLM Acquisition,Shell Companies,103057587
CSLR,Complete Solaria,Solar,56129580
CSPI,CSP Inc.,Information Technology Services,106370325
CSR,Centerspace,REIT - Residential,820210725
CSSE,Chicken Soup for the Soul Entertainment,Entertainment,9100860
CSTA,Constellation Acquisition Corp I,Shell Companies,134816944
CSTE,Caesarstone,Building Products & Equipment,146037789
CSTL,Castle Biosciences,Diagnostics & Research,542784785
CSTM,Constellium SE,Aluminum,2539715200
CSTR,CapStar Financial Holdings,Banks - Regional,367430880
CSV,Carriage Services,Personal Services,373189165
CSWC,Capital Southwest,Asset Management,922470899
CSWI,CSW Industrials,Specialty Industrial Machinery,2838469271
CSX,CSX Corporation,Railroads,65133244800
CTAS,Cintas,Specialty Business Services,56358873820
CTBI,Community Trust Bancorp,Banks - Regional,757971578
CTCX,Carmell Therapeutics,Biotechnology,74784384
CTG,Computer Task Group,Information Technology Services,168832354
CTGO,Contango Ore,Gold,199846764
CTHR,Charles & Colvard,Luxury Goods,12238139
CTKB,Cytek Biosciences,Medical Devices,1038305340
CTLP,Cantaloupe,Information Technology Services,520000910
CTLT,Catalent,Drug Manufacturers - Specialty & Generic,6702512960
CTM,Castellum,Information Technology Services,11226850
CTMX,CytomX Therapeutics,Biotechnology,98473683
CTNT,Cheetah Net Supply Chain Service,Auto & Truck Dealerships,27053160
CTO,CTO Realty Growth,REIT - Diversified,394289632
CTOS,Custom Truck One Source,Rental & Leasing Services,1462137600
CTRA,Coterra Energy,Oil & Gas E&P,18579142400
CTRE,CareTrust REIT,REIT - Healthcare Facilities,2689548960
CTRM,Castor Maritime,Marine Shipping,38852470
CTRN,Citi Trends,Apparel Retail,197144661
CTS,CTS Corporation,Electronic Components,1272804300
CTSH,Cognizant Technology Solutions,Information Technology Services,35264376290
CTSO,Cytosorbents,Medical Devices,56881280
CTV,Innovid,Advertising Agencies,223496760
CTVA,Corteva,Agricultural Inputs,31818514350
CTXR,Citius Pharmaceuticals,Biotechnology,135744161
CUBE,CubeSmart,REIT - Industrial,9484636980
CUBI,Customers Bancorp,Banks - Regional,1576977780
CUE,Cue Biopharma,Biotechnology,139430997
CUEN,Cuentas,Software - Application,3494477
CUK,Carnival Corporation,Leisure,22131172864
CULL,Cullman Bancorp,Banks - Regional,76920596
CULP,"Culp, Inc.",Textile Manufacturing,69636307
CURI,CuriosityStream,Broadcasting,35957956
CURO,CURO Group Holdings,Credit Services,30562370
CURV,Torrid Holdings,Apparel Retail,503703640
CUTR,Cutera,Medical Devices,45472092
CUZ,Cousins Properties,REIT - Office,3408844040
CVAC,CureVac,Biotechnology,1226878840
CVBF,CVB Financial,Banks - Regional,2733811560
CVCO,Cavco Industries,Residential Construction,2554386955
CVCY,Central Valley Community Bancorp,Banks - Regional,230272401
CVE,Cenovus Energy,Oil & Gas Integrated,30672115200
CVEO,Civeo,Specialty Business Services,339155700
CVGI,Commercial Vehicle Group,Auto Parts,226174641
CVGW,Calavo Growers,Food Distribution,483457142
CVI,CVR Energy,Oil & Gas Refining & Marketing,3024977790
CVII,Churchill Capital Corp VII,Shell Companies,971418725
CVKD,Cadrenal Therapeutics,Biotechnology,6753600
CVLG,Covenant Logistics Group,Trucking,442730126
CVLT,Commvault Systems,Software - Application,3294947700
CVLY,Codorus Valley Bancorp,Banks - Regional,197892755
CVM,CEL-SCI,Biotechnology,132948928
CVNA,Carvana Co.,Internet Retail,7150176242
CVR,Chicago Rivet & Machine Co.,Tools & Accessories,16143969
CVRX,"CVRx, Inc.",Medical Devices,502696740
CVS,CVS Health,Healthcare Plans,96646190000
CVU,CPI Aerostructures,Aerospace & Defense,33455136
CVV,CVD Equipment,Specialty Industrial Machinery,34327285
CVX,Chevron,Oil & Gas Integrated,2.71599E+11
CW,Curtiss-Wright,Aerospace & Defense,8244420308
CWAN,Clearwater Analytics Holdings,Software - Application,5084861108
CWBC,Community West Bancshares,Banks - Regional,131427104
CWCO,Consolidated Water,Utilities - Regulated Water,564547875
CWD,CaliberCos,Asset Management,29597655
CWEN,Clearway Energy,Utilities - Renewable,4975729256
CWEN.A,Clearway Energy,Utilities - Renewable,2069621234
CWH,Camping World Holdings,Auto & Truck Dealerships,1935134534
CWK,Cushman & Wakefield,Real Estate Services,2020279170
CWST,Casella Waste Systems,Waste Management,4785828165
CWT,California Water Service Group,Utilities - Regulated Water,3020016630
CX,CEMEX,Building Materials,10717923732
CXAI,CXApp,Software - Application,21356160
CXDO,Crexendo,Telecom Services,81553644
CXM,Sprinklr,Software - Application,1539771220
CXT,"Crane NXT, Co.",Specialty Industrial Machinery,2902075488
CXW,CoreCivic,REIT - Specialty,1568885050
CYAN,Cyanotech,Packaged Foods,5773074
CYBN,Cybin,Biotechnology,168047157
CYBR,CyberArk Software,Software - Infrastructure,8249210316
CYCC,Cyclacel Pharmaceuticals,Biotechnology,3427463
CYCN,Cyclerion Therapeutics,Biotechnology,5990495
CYD,China Yuchai International,Specialty Industrial Machinery,346069801
CYH,Community Health Systems,Medical Care Facilities,362522629
CYN,Cyngn,Software - Application,8862224
CYRX,Cryoport,Integrated Freight & Logistics,745717151
CYT,Cyteir Therapeutics,Biotechnology,111234129
CYTH,Cyclo Therapeutics,Drug Manufacturers - Specialty & Generic,29598790
CYTK,Cytokinetics,Biotechnology,3343627760
CYTO,Altamira Therapeutics,Biotechnology,3619007
CZFS,Citizens Financial Services,Banks - Regional,294320119
CZNC,Citizens & Northern,Banks - Regional,323062020
CZOO,Cazoo Group,Auto & Truck Dealerships,903760050
CZR,Caesars Entertainment,Resorts & Casinos,9532269090
CZWI,Citizens Community Bancorp,Banks - Regional,114102290
D,Dominion Energy,Utilities - Regulated Electric,39739489530
DAC,Danaos,Marine Shipping,1328525580
DADA,Dada Nexus,Internet Retail,799134166
DAIO,Data I/O,Electronic Components,27964480
DAKT,Daktronics,Electronic Components,389299086
DAL,Delta Air Lines,Airlines,25963732050
DALN,DallasNews,Publishing,21447579
DAN,Dana Incorporated,Auto Parts,1973100460
DAO,Youdao,Education & Training Services,484321068
DAR,Darling Ingredients,Packaged Foods,7592127880
DARE,Dar̩ Bioscience,Biotechnology,28583067
DASH,DoorDash,Internet Content & Information,39820897500
DATS,DatChat,Software - Application,3692800
DAVA,Endava,Software - Infrastructure,3922677201
DAVE,Dave Inc.,Software - Application,82157448
DAWN,Day One Biopharmaceuticals,Biotechnology,1068016334
DB,Deutsche Bank Aktiengesellschaft,Banks - Regional,25659271800
DBD,Diebold Nixdorf,Software - Application,2265600000
DBGI,Digital Brands Group,Apparel Retail,3819789
DBI,Designer Brands,Apparel Retail,487995499
DBRG,DigitalBridge Group,REIT - Diversified,2693526000
DBVT,DBV Technologies,Biotechnology,165353179
DBX,Dropbox,Software - Infrastructure,7313143350
DC,Dakota Gold,Gold,219033886
DCBO,Docebo,Software - Application,1466290779
DCFC,Tritium DCFC,Electrical Equipment & Parts,41947776
DCGO,DocGo,Medical Care Facilities,544415040
DCI,Donaldson Company,Specialty Industrial Machinery,7407720840
DCO,Ducommun,Aerospace & Defense,755655628
DCOM,Dime Community Bancshares,Banks - Regional,912679359
DCPH,Deciphera Pharmaceuticals,Drug Manufacturers - Specialty & Generic,1185821880
DCTH,Delcath Systems,Medical Devices,65697378
DD,DuPont de Nemours,Specialty Chemicals,30485677380
DDC,DDC Enterprise,Packaged Foods,114927729
DDD,3D Systems,Computer Hardware,789929280
DDI,DoubleDown Interactive Co.,Electronic Gaming & Multimedia,406338208
DDL,Dingdong (Cayman) Limited,Grocery Stores,406569302
DDOG,Datadog,Software - Application,34395328120
DDS,Dillard's,Department Stores,5992249934
DE,Deere & Company,Farm & Heavy Construction Machinery,1.04737E+11
DEA,Easterly Government Properties,REIT - Office,1204291334
DECA,Denali Capital Acquisition,Shell Companies,119155989
DECK,Deckers Outdoor,Footwear & Accessories,17892753242
DEI,Douglas Emmett,REIT - Office,2386020780
DELL,Dell Technologies,Computer Hardware,17409473100
DENN,Denny's,Restaurants,546779620
DEO,Diageo,Beverages - Wineries & Distilleries,79373739900
DERM,Journey Medical,Drug Manufacturers - Specialty & Generic,103687770
DESP,Despegar.com,Travel Services,568085040
DFH,Dream Finders Homes,Residential Construction,2649861620
DFIN,Donnelley Financial Solutions,Capital Markets,1756934736
DFLI,Dragonfly Energy Holdings,Electrical Equipment & Parts,34551202
DFS,Discover Financial Services,Credit Services,25830991400
DG,Dollar General,Discount Stores,27921736720
DGHI,Digihost Technology,Software - Application,42488136
DGICA,Donegal Group,Insurance - Property & Casualty,471131078
DGICB,Donegal Group,Insurance - Property & Casualty,76683750
DGII,Digi International,Communication Equipment,875924282
DGLY,Digital Ally,Security & Protection Services,5125373
DGX,Quest Diagnostics,Diagnostics & Research,15281040850
DH,Definitive Healthcare,Health Information Services,1336938439
DHAC,Digital Health Acquisition,Shell Companies,52498194
DHC,Diversified Healthcare Trust,REIT - Healthcare Facilities,596316000
DHCA,DHC Acquisition,Shell Companies,133239380
DHI,D.R. Horton,Residential Construction,46132656640
DHIL,Diamond Hill Investment Group,Asset Management,473213892
DHR,Danaher,Diagnostics & Research,1.60709E+11
DHT,DHT Holdings,Oil & Gas Midstream,1576190000
DHX,DHI Group,Staffing & Employment Services,117981108
DIBS,1stdibs.Com,Internet Retail,189510888
DIN,Dine Brands Global,Restaurants,760258890
DINO,HF Sinclair,Oil & Gas Refining & Marketing,11560801650
DIOD,Diodes,Semiconductors,3309847310
DIS,The Walt Disney Company,Entertainment,1.6989E+11
DISA,Disruptive Acquisition Corporation I,Shell Companies,91506506
DISH,DISH Network,Telecom Services,2436548763
DIST,Distoken Acquisition,Shell Companies,68411902
DIT,AMCON Distributing Company,Food Distribution,119768780
DJCO,Daily Journal,Software - Application,433764450
DK,Delek US Holdings,Oil & Gas Refining & Marketing,1658434990
DKL,"Delek Logistics Partners, LP",Oil & Gas Midstream,2154534088
DKNG,DraftKings,Gambling,16738087226
DKS,DICK'S Sporting Goods,Specialty Retail,11288115681
DLA,Delta Apparel,Apparel Manufacturing,52575150
DLB,Dolby Laboratories,Information Technology Services,8515769506
DLHC,DLH Holdings,Specialty Business Services,199048000
DLNG,Dynagas LNG Partners LP,Oil & Gas Midstream,103782204
DLO,DLocal,Software - Infrastructure,5028878779
DLPN,Dolphin Entertainment,Entertainment,32654340
DLR,Digital Realty Trust,REIT - Office,40827478120
DLTH,Duluth Holdings,Apparel Retail,155244389
DLTR,Dollar Tree,Discount Stores,27105455520
DLX,Deluxe,Advertising Agencies,805252775
DM,Desktop Metal,Computer Hardware,241246374
DMAC,DiaMedica Therapeutics,Biotechnology,110824804
DMAQ,Deep Medicine Acquisition,Shell Companies,50117022
DMK,DMK Pharmaceuticals,Drug Manufacturers - Specialty & Generic,5486017
DMLP,"Dorchester Minerals,",Oil & Gas E&P,1187496000
DMRC,Digimarc,Information Technology Services,691965021
DMTK,DermTech,Diagnostics & Research,50337210
DMYY,dMY Squared Technology Group,Shell Companies,66496101
DNA,Ginkgo Bioworks Holdings,Biotechnology,2881073703
DNB,Dun & Bradstreet Holdings,Financial Data & Stock Exchanges,4648586400
DNLI,Denali Therapeutics,Biotechnology,2538678890
DNMR,Danimer Scientific,Specialty Chemicals,103055350
DNN,Denison Mines,Uranium,1643921100
DNOW,NOW Inc.,Oil & Gas Equipment & Services,1153691350
DNTH,Dianthus Therapeutics,Biotechnology,140769100
DNUT,Krispy Kreme,Grocery Stores,2206974000
DO,Diamond Offshore Drilling,Oil & Gas Drilling,1253444500
DOC,Physicians Realty Trust,REIT - Healthcare Facilities,2997781590
DOCN,DigitalOcean Holdings,Software - Infrastructure,2670576345
